sample,super_pop,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
HG01697,EUR,-86.51483,-144.31145,-30.288635,-49.034855,4.5513616,-0.62652653,-28.352932,5.0552545,-5.5669136,-1.252861,-3.0612845,-0.7074256
HG01699,EUR,-86.97805,-144.73427,-28.798258,-56.05747,7.955234,1.5995387,-31.436993,6.388087,0.37899956,-2.0048273,-8.042426,3.4348068
HG01700,EUR,-99.29728,-151.96756,-38.072662,-56.8303,7.164621,0.9412107,-24.773043,5.209148,-10.527197,4.1135497,-6.1212406,3.721871
HG01702,EUR,-97.55904,-153.2097,-37.84553,-57.318317,4.0459223,1.0136416,-26.938118,7.2244344,-8.441204,3.1603796,-8.908899,3.2143905
HG01704,EUR,-83.440506,-143.98564,-30.594257,-51.73765,4.7104797,1.0650705,-25.87917,-1.4962742,-1.7465751,-2.59986,-1.326829,-4.4193516
HG01705,EUR,-84.16888,-147.53255,-31.595404,-56.64812,5.5097384,0.6455757,-27.085642,5.322476,-2.7380118,2.9503722,-3.6981435,-1.1929916
HG01707,EUR,-88.62639,-148.58047,-33.004566,-55.042385,5.341323,-0.16224673,-25.316841,3.489874,2.2291687,1.6159093,-6.4193444,-2.826875
HG01708,EUR,-87.89802,-143.57526,-28.586206,-52.257893,8.16612,1.440511,-22.843693,3.3929574,-8.956764,1.8474278,6.4128304,-0.4612523
HG01709,EUR,-86.16393,-146.33919,-31.418245,-53.597836,5.958531,-0.7485631,-25.947906,5.867009,-0.4913806,-5.830204,0.482387,-3.361391
HG01710,EUR,-87.01047,-148.16353,-28.51894,-55.269806,7.612536,2.186469,-25.189953,3.140145,-3.4110918,4.1419296,-4.07427,-1.6104054
HG01746,EUR,-93.5099,-146.97882,-32.775932,-56.073124,4.6581483,-3.478199,-27.03561,3.3173056,-3.6410968,3.9690788,-1.1570593,-4.9410105
HG01747,EUR,-92.73931,-150.078,-33.40615,-53.04532,5.0931525,2.8413198,-26.353899,5.805341,1.6829337,0.234731,-1.724613,-2.7305245
HG01756,EUR,-90.97234,-145.35901,-30.866737,-54.593433,5.503019,2.4152775,-29.126806,7.743484,2.1469655,2.4392765,-0.7070997,-0.5673331
HG01757,EUR,-86.34741,-142.85744,-27.7442,-53.090633,5.7205696,0.3741917,-29.115702,4.5419455,1.4531354,4.002646,-4.289618,3.3486738
HG01761,EUR,-90.83673,-149.23657,-31.37188,-56.02796,4.4971085,1.15002,-28.540419,5.061289,0.5729557,-0.4754393,-4.026156,2.171887
HG01762,EUR,-92.60641,-148.05789,-29.547977,-54.988396,4.327673,1.3783711,-18.753439,5.7104707,-2.0266666,0.3493458,-1.3700845,1.0831945
